PLAYER,POS,TEAM,OPP,ML,O/U,SPRD,TM/P,SAL,FPTS,VAL,PASS ATT,RUSH ATT,TARGETS,TOUCHES,TOUCHES/$,own% ownership
Tylan Wallace,WR,BAL,LV,-468,41.5,-9.5,25.5,3000,0.77,0.3,0,0.1,0.5,0.6,0.2,0.01
Blake Corum,RB,LAR,ARI,103,49.5,1.5,24,4700,1.52,0.3,0,1.2,0.4,1.6,0.3,0.01
Harrison Bryant,TE,LV,BAL,358,41.5,9.5,16,2500,0.81,0.3,0,0,0.5,0.5,0.2,0.01
Kayshon Boutte,WR,NE,SEA,149,38,3.5,17.25,3000,0.94,0.3,0,0,0.6,0.6,0.2,0.01
Trey Sermon,RB,IND,GB,-175,40.5,-3.5,22,4500,1.38,0.3,0,1.8,0.3,2.1,0.5,0
Isaiah Davis,RB,NYJ,TEN,-186,41,-3.5,22.25,4500,1.2,0.3,0,1.5,0.2,1.7,0.4,0
Devin Duvernay,WR,JAX,CLE,-174,42,-3.5,22.75,3000,0.79,0.3,0,0.1,0.5,0.6,0.2,0
Devin Culp,TE,TB,DET,261,51.5,7,22.25,2500,0.67,0.3,0,0,0.4,0.4,0.2,0
Troy Franklin,WR,DEN,PIT,132,36.5,3,16.75,3000,0.82,0.3,0,0,0.5,0.5,0.2,0
Zach Pascal,WR,ARI,LAR,-123,49.5,-1.5,25.5,3000,0.75,0.3,0,0,0.4,0.4,0.1,0
Jermaine Burton,WR,CIN,KC,208,47.5,6,20.75,3500,1.2,0.3,0,0,0.7,0.7,0.2,0
Kimani Vidal,RB,LAC,CAR,-283,39,-6.5,22.75,4200,1.31,0.3,0,1.3,0.3,1.6,0.4,0
Dallin Holker,TE,NO,DAL,238,46,6.5,19.75,2500,0.65,0.3,0,0,0.4,0.4,0.2,0
Skyy Moore,WR,KC,CIN,-258,47.5,-6,26.75,3000,0.79,0.3,0,0,0.4,0.4,0.1,0
Connor Heyward,TE,PIT,DEN,-157,36.5,-3,19.75,2500,0.66,0.3,0,0,0.5,0.5,0.2,0
Mecole Hardman,WR,KC,CIN,-258,47.5,-6,26.75,3000,1.05,0.3,0,0.2,0.7,0.9,0.3,0
Raheem Blackshear,RB,CAR,LAC,228,39,6.5,16.25,4000,1.18,0.3,0,0.8,0.7,1.5,0.4,0
Charlie Jones,WR,CIN,KC,208,47.5,6,20.75,3000,1.02,0.3,0,0,0.6,0.6,0.2,0
Ameer Abdullah,RB,LV,BAL,358,41.5,9.5,16,4000,0.75,0.2,0,0.6,0.4,1,0.3,0
Jaheim Bell,TE,NE,SEA,149,38,3.5,17.25,2500,0.6,0.2,0,0,0.4,0.4,0.2,0
Charlie Kolar,TE,BAL,LV,-468,41.5,-9.5,25.5,2500,0.61,0.2,0,0,0.4,0.4,0.2,0
Brenden Rice,WR,LAC,CAR,-283,39,-6.5,22.75,3000,0.67,0.2,0,0,0.4,0.4,0.1,0
Scotty Miller,WR,PIT,DEN,-157,36.5,-3,19.75,3000,0.7,0.2,0,0.1,0.5,0.6,0.2,0
Jamari Thrash,WR,CLE,JAX,145,42,3.5,19.25,3000,0.63,0.2,0,0,0.4,0.4,0.1,0
Craig Reynolds,RB,DET,TB,-332,51.5,-7,29.25,4000,0.83,0.2,0,0.6,0.3,0.9,0.2,0
DeeJay Dallas,RB,ARI,LAR,-123,49.5,-1.5,25.5,4000,0.76,0.2,0,0.6,0.4,1,0.3,0
Dylan Laube,RB,LV,BAL,358,41.5,9.5,16,4000,0.66,0.2,0,0.8,0.2,1,0.3,0
Malik Heath,WR,GB,IND,145,40.5,3.5,18.5,3000,0.54,0.2,0,0,0.3,0.3,0.1,0
John Bates,TE,WAS,NYG,-126,44,-1.5,22.75,2500,0.58,0.2,0,0,0.4,0.4,0.2,0
Carson Steele,RB,KC,CIN,-258,47.5,-6,26.75,4000,0.69,0.2,0,1.8,0,1.8,0.5,0
D'Ernest Johnson,RB,JAX,CLE,-174,42,-3.5,22.75,4600,0.64,0.1,0,0.9,0.2,1.1,0.2,0
Cody Schrader,RB,LAR,ARI,103,49.5,1.5,24,4000,0.28,0.1,0,0.3,0.1,0.4,0.1,0
Sean Tucker,RB,TB,DET,261,51.5,7,22.25,4200,0.46,0.1,0,0.5,0.2,0.7,0.2,0
Patrick Taylor,RB,SF,MIN,-268,45.5,-6,25.75,4300,0.34,0.1,0,0.2,0.2,0.4,0.1,0
Kenny McIntosh,RB,SEA,NE,-180,38,-3.5,20.75,4300,0.5,0.1,0,0.7,0.2,0.9,0.2,0
Erick All,TE,CIN,KC,208,47.5,6,20.75,2500,0.21,0.1,0,0,0.2,0.2,0.1,0
Tanner McLachlan,TE,CIN,KC,208,47.5,6,20.75,2500,0.32,0.1,0,0,0.2,0.2,0.1,0
Blake Watson,RB,DEN,PIT,132,36.5,3,16.75,4000,0.46,0.1,0,0.4,0.2,0.6,0.2,0
Sione Vaki,RB,DET,TB,-332,51.5,-7,29.25,4000,0.48,0.1,0,1.3,0,1.3,0.3,0
Hassan Haskins,RB,LAC,CAR,-283,39,-6.5,22.75,4100,0.46,0.1,0,0.6,0.2,0.8,0.2,0
JaMycal Hasty,RB,NE,SEA,149,38,3.5,17.25,4000,0.46,0.1,0,0.4,0.2,0.6,0.2,0
Israel Abanikanda,RB,NYJ,TEN,-186,41,-3.5,22.25,4400,0.53,0.1,0,0.2,0.4,0.6,0.1,0
Drew Lock,QB,NYG,WAS,106,44,1.5,21.25,4800,0,0,0,0,0,0,0,0
Irvin Charles,WR,NYJ,TEN,-186,41,-3.5,22.25,3000,0,0,0,0,0,0,0,0
Jake Tonges,TE,SF,MIN,-268,45.5,-6,25.75,3200,0,0,0,0,0,0,0,0
J.J. McCarthy,QB,MIN,SF,216,45.5,6,19.75,4000,0,0,0,0,0,0,0,0
Jake Browning,QB,CIN,KC,208,47.5,6,20.75,4800,0,0,0,0,0,0,0,0
Mason Rudolph,QB,TEN,NYJ,153,41,3.5,18.75,4700,0,0,0,0,0,0,0,0
Anthony Firkser,TE,NYJ,TEN,-186,41,-3.5,22.25,2500,0,0,0,0,0,0,0,0
Trayveon Williams,RB,CIN,KC,208,47.5,6,20.75,4000,0,0,0,0,0,0,0,0
Thomas Odukoya,TE,TEN,NYJ,153,41,3.5,18.75,2500,0,0,0,0,0,0,0,0
Easton Stick,QB,LAC,CAR,-283,39,-6.5,22.75,4800,0,0,0,0,0,0,0,0
Tyler Higbee,TE,LAR,ARI,103,49.5,1.5,24,3300,0,0,0,0,0,0,0,0
Jeff Foreman,WR,LV,BAL,358,41.5,9.5,16,3000,0,0,0,0,0,0,0,0
Ramel Keyton,WR,LV,BAL,358,41.5,9.5,16,3000,0,0,0,0,0,0,0,0
Mason Tipton,WR,NO,DAL,238,46,6.5,19.75,3000,0,0,0,0,0,0,0,0
Jarrett Stidham,QB,DEN,PIT,132,36.5,3,16.75,4600,0,0,0,0,0,0,0,0
Tyler Ott,TE,WAS,NYG,-126,44,-1.5,22.75,2500,0,0,0,0,0,0,0,0
Jonathon Brooks,RB,CAR,LAC,228,39,6.5,16.25,5000,0,0,0,0,0,0,0,0
Spencer Rattler,QB,NO,DAL,238,46,6.5,19.75,4000,0,0,0,0,0,0,0,0
David White,WR,JAX,CLE,-174,42,-3.5,22.75,3000,0,0,0,0,0,0,0,0
Zach Wilson,QB,DEN,PIT,132,36.5,3,16.75,4000,0,0,0,0,0,0,0,0
Keilan Robinson,RB,JAX,CLE,-174,42,-3.5,22.75,4000,0,0,0,0,0,0,0,0
Ian Thomas,TE,CAR,LAC,228,39,6.5,16.25,2500,0,0,0,0,0,0,0,0
Jeremy McNichols,RB,WAS,NYG,-126,44,-1.5,22.75,4000,0,0,0,0,0,0,0,0
Cal Adomitis,TE,CIN,KC,208,47.5,6,20.75,2500,0,0,0,0,0,0,0,0
Brett Rypien,QB,MIN,SF,216,45.5,6,19.75,4000,0,0,0,0,0,0,0,0
Dareke Young,WR,SEA,NE,-180,38,-3.5,20.75,3000,0,0,0,0,0,0,0,0
JaQuae Jackson,WR,NE,SEA,149,38,3.5,17.25,3000,0,0,0,0,0,0,0,0
Kenny Yeboah,TE,NYJ,TEN,-186,41,-3.5,22.25,2600,0,0,0,0,0,0,0,0
Ko Kieft,TE,TB,DET,261,51.5,7,22.25,2500,0,0,0,0,0,0,0,0
Nick Mullens,QB,MIN,SF,216,45.5,6,19.75,4500,0,0,0,0,0,0,0,0
Julius Chestnut,RB,TEN,NYJ,153,41,3.5,18.75,4000,0,0,0,0,0,0,0,0
Chris Manhertz,TE,NYG,WAS,106,44,1.5,21.25,2500,0,0,0,0,0,0,0,0
Drake Maye,QB,NE,SEA,149,38,3.5,17.25,5000,0,0,0,0,0,0,0,0
Jordan Travis,QB,NYJ,TEN,-186,41,-3.5,22.25,4000,0,0,0,0,0,0,0,0
Trey Lance,QB,DAL,NO,-300,46,-6.5,26.25,4000,0,0,0,0,0,0,0,0
DJ Turner,WR,LV,BAL,358,41.5,9.5,16,3000,0,0,0,0,0,0,0,0
Jordan Matthews,TE,CAR,LAC,228,39,6.5,16.25,2500,0,0,0,0,0,0,0,0
Josh Johnson,QB,BAL,LV,-468,41.5,-9.5,25.5,4000,0,0,0,0,0,0,0,0
Ricky Pearsall,WR,SF,MIN,-268,45.5,-6,25.75,3000,0,0,0,0,0,0,0,0
Eric Tomlinson,TE,LAC,CAR,-283,39,-6.5,22.75,2500,0,0,0,0,0,0,0,0
Jaaron Hayek,WR,KC,CIN,-258,47.5,-6,26.75,3000,0,0,0,0,0,0,0,0
MyCole Pruitt,TE,PIT,DEN,-157,36.5,-3,19.75,2500,0,0,0,0,0,0,0,0
Patrick Ricard,RB,BAL,LV,-468,41.5,-9.5,25.5,4000,0,0,0,0,0,0,0,0
Russell Wilson,QB,PIT,DEN,-157,36.5,-3,19.75,5400,0,0,0,0,0,0,0,0
Messiah Swinson,TE,CAR,LAC,228,39,6.5,16.25,2500,0,0,0,0,0,0,0,0
Tyrod Taylor,QB,NYJ,TEN,-186,41,-3.5,22.25,5200,0,0,0,0,0,0,0,0
Elijah Mitchell,RB,SF,MIN,-268,45.5,-6,25.75,4000,0,0,0,0,0,0,0,0
Tyler Goodson,RB,IND,GB,-175,40.5,-3.5,22,4000,0,0,0,0,0,0,0,0
Nick Muse,TE,MIN,SF,216,45.5,6,19.75,2500,0,0,0,0,0,0,0,0
AJ Dillon,RB,GB,IND,145,40.5,3.5,18.5,4000,0,0,0,0,0,0,0,0
Zay Jones,WR,ARI,LAR,-123,49.5,-1.5,25.5,4600,0,0,0,0,0,0,0,0
Rasheen Ali,RB,BAL,LV,-468,41.5,-9.5,25.5,4000,0,0,0,0,0,0,0,0
Isaiah Williams,WR,DET,TB,-332,51.5,-7,29.25,3000,0,0,0,0,0,0,0,0
Jelani Woods,TE,IND,GB,-175,40.5,-3.5,22,2500,0,0,0,0,0,0,0,0
Colson Yankoff,TE,WAS,NYG,-126,44,-1.5,22.75,2500,0,0,0,0,0,0,0,0
Chris Evans,RB,CIN,KC,208,47.5,6,20.75,4000,0,0,0,0,0,0,0,0
Kameron Johnson,WR,TB,DET,261,51.5,7,22.25,3000,0,0,0,0,0,0,0,0
Taylor Heinicke,QB,LAC,CAR,-283,39,-6.5,22.75,4500,0,0,0,0,0,0,0,0
Drew Ogletree,TE,IND,GB,-175,40.5,-3.5,22,2500,0,0,0,0,0,0,0,0
Sam Ehlinger,QB,IND,GB,-175,40.5,-3.5,22,4000,0,0,0,0,0,0,0,0
Sam Hartman,QB,WAS,NYG,-126,44,-1.5,22.75,4000,0,0,0,0,0,0,0,0
Nick Chubb,RB,CLE,JAX,145,42,3.5,19.25,5900,0,0,0,0,0,0,0,0
Sam Howell,QB,SEA,NE,-180,38,-3.5,20.75,5000,0,0,0,0,0,0,0,0
Carson Wentz,QB,KC,CIN,-258,47.5,-6,26.75,4700,0,0,0,0,0,0,0,0
Joe Milton,QB,NE,SEA,149,38,3.5,17.25,4000,0,0,0,0,0,0,0,0
Kendrick Bourne,WR,NE,SEA,149,38,3.5,17.25,3000,0,0,0,0,0,0,0,0
David Martin-Robinson,TE,TEN,NYJ,153,41,3.5,18.75,2500,0,0,0,0,0,0,0,0
Brandon Allen,QB,SF,MIN,-268,45.5,-6,25.75,4000,0,0,0,0,0,0,0,0
Keaton Mitchell,RB,BAL,LV,-468,41.5,-9.5,25.5,4000,0,0,0,0,0,0,0,0
Hunter Long,TE,LAR,ARI,103,49.5,1.5,24,2500,0,0,0,0,0,0,0,0
Nate Adkins,TE,DEN,PIT,132,36.5,3,16.75,2500,0,0,0,0,0,0,0,0
Jordan Love,QB,GB,IND,145,40.5,3.5,18.5,6500,0,0,0,0,0,0,0,0
Owen Wright,RB,BAL,LV,-468,41.5,-9.5,25.5,4000,0,0,0,0,0,0,0,0
Juwann Winfree,WR,IND,GB,-175,40.5,-3.5,22,3000,0,0,0,0,0,0,0,0
Trishton Jackson,WR,MIN,SF,216,45.5,6,19.75,3000,0,0,0,0,0,0,0,0
Aidan O'Connell,QB,LV,BAL,358,41.5,9.5,16,5100,0,0,0,0,0,0,0,0
Joe Flacco,QB,IND,GB,-175,40.5,-3.5,22,5000,0,0,0,0,0,0,0,0
Zach Wood,TE,NO,DAL,238,46,6.5,19.75,2500,0,0,0,0,0,0,0,0
D'Onta Foreman,RB,CLE,JAX,145,42,3.5,19.25,4400,0,0,0,0,0,0,0,0
Adam Prentice,RB,NO,DAL,238,46,6.5,19.75,4000,0,0,0,0,0,0,0,0
Jimmy Garoppolo,QB,LAR,ARI,103,49.5,1.5,24,4000,0,0,0,0,0,0,0,0
Travis Vokolek,TE,ARI,LAR,-123,49.5,-1.5,25.5,2500,0,0,0,0,0,0,0,0
Chase Edmonds,RB,TB,DET,261,51.5,7,22.25,4000,0,0,0,0,0,0,0,0
Brady Russell,TE,SEA,NE,-180,38,-3.5,20.75,2500,0,0,0,0,0,0,0,0
Clayton Tune,QB,ARI,LAR,-123,49.5,-1.5,25.5,4000,0,0,0,0,0,0,0,0
Jeff Driskel,QB,WAS,NYG,-126,44,-1.5,22.75,4500,0,0,0,0,0,0,0,0
Jaelon Darden,WR,CLE,JAX,145,42,3.5,19.25,3000,0,0,0,0,0,0,0,0
Kyle Trask,QB,TB,DET,261,51.5,7,22.25,4000,0,0,0,0,0,0,0,0
Colton Dowell,WR,TEN,NYJ,153,41,3.5,18.75,3000,0,0,0,0,0,0,0,0
Gunner Olszewski,WR,NYG,WAS,106,44,1.5,21.25,3000,0,0,0,0,0,0,0,0
Kendre Miller,RB,NO,DAL,238,46,6.5,19.75,4000,0,0,0,0,0,0,0,0
Mike Boone,RB,CAR,LAC,228,39,6.5,16.25,4000,0,0,0,0,0,0,0,0
Jake Haener,QB,NO,DAL,238,46,6.5,19.75,4600,0,0,0,0,0,0,0,0
Malik Taylor,WR,NYJ,TEN,-186,41,-3.5,22.25,3000,0,0,0,0,0,0,0,0
Ben Sims,TE,GB,IND,145,40.5,3.5,18.5,2500,0,0,0,0,0,0,0,0
Cooper Rush,QB,DAL,NO,-300,46,-6.5,26.25,4600,0,0,0,0,0,0,0,0
Rakim Jarrett,WR,TB,DET,261,51.5,7,22.25,3000,0,0,0,0,0,0,0,0
Simi Fehoko,WR,LAC,CAR,-283,39,-6.5,22.75,3000,0,0,0,0,0,0,0,0
Mac Jones,QB,JAX,CLE,-174,42,-3.5,22.75,4900,0,0,0,0,0,0,0,0
Stetson Bennett,QB,LAR,ARI,103,49.5,1.5,24,4000,0,0,0,0,0,0,0,0
T.J. Hockenson,TE,MIN,SF,216,45.5,6,19.75,5800,0,0,0,0,0,0,0,0
Andrew DePaola,TE,MIN,SF,216,45.5,6,19.75,2500,0,0,0,0,0,0,0,0
Nick Vannett,TE,TEN,NYJ,153,41,3.5,18.75,2500,0,0,0,0,0,0,0,0
Xavier Weaver,WR,ARI,LAR,-123,49.5,-1.5,25.5,3000,0,0,0,0,0,0,0,0
Clyde Edwards-Helaire,RB,KC,CIN,-258,47.5,-6,26.75,4000,0,0,0,0,0,0,0,0
Parker Hesse,TE,DET,TB,-332,51.5,-7,29.25,2500,0,0,0,0,0,0,0,0
Eric Saubert,TE,SF,MIN,-268,45.5,-6,25.75,3000,0,0,0,0,0,0,0,0
Brevyn Spann-Ford,TE,DAL,NO,-300,46,-6.5,26.25,2800,0,0,0,0,0,0,0,0
Jameis Winston,QB,CLE,JAX,145,42,3.5,19.25,5000,0,0,0,0,0,0,0,0
Marcus Mariota,QB,WAS,NYG,-126,44,-1.5,22.75,4000,0,0,0,0,0,0,0,0
Brenden Bates,TE,NYJ,TEN,-186,41,-3.5,22.25,2700,0,0,0,0,0,0,0,0
Evan Deckers,TE,TB,DET,261,51.5,7,22.25,2500,0,0,0,0,0,0,0,0
Tyreik McAllister,RB,LV,BAL,358,41.5,9.5,16,4000,0,0,0,0,0,0,0,0
Dorian Thompson-Robinson,QB,CLE,JAX,145,42,3.5,19.25,4000,0,0,0,0,0,0,0,0
John Stephens,TE,DAL,NO,-300,46,-6.5,26.25,3000,0,0,0,0,0,0,0,0
Hunter Luepke,RB,DAL,NO,-300,46,-6.5,26.25,4000,0,0,0,0,0,0,0,0
Joshua Dobbs,QB,SF,MIN,-268,45.5,-6,25.75,4500,0,0,0,0,0,0,0,0
James Winchester,TE,KC,CIN,-258,47.5,-6,26.75,2500,0,0,0,0,0,0,0,0
Hendon Hooker,QB,DET,TB,-332,51.5,-7,29.25,4000,0,0,0,0,0,0,0,0
C.J. Ham,RB,MIN,SF,216,45.5,6,19.75,4000,0,0,0,0,0,0,0,0
Nyheim Hines,RB,CLE,JAX,145,42,3.5,19.25,4000,0,0,0,0,0,0,0,0
Mitchell Fraboni,TE,DEN,PIT,132,36.5,3,16.75,2500,0,0,0,0,0,0,0,0
Puka Nacua,WR,LAR,ARI,103,49.5,1.5,24,7000,0,0,0,0,0,0,0,0
Andy Dalton,QB,CAR,LAC,228,39,6.5,16.25,4800,0,0,0,0,0,0,0,0
Tommy DeVito,QB,NYG,WAS,106,44,1.5,21.25,4300,0,0,0,0,0,0,0,0
DJ Chark,WR,LAC,CAR,-283,39,-6.5,22.75,3000,0,0,0,0,0,0,0,0
Patrick Murtagh,TE,JAX,CLE,-174,42,-3.5,22.75,2500,0,0,0,0,0,0,0,0
Tyler Davis,TE,GB,IND,145,40.5,3.5,18.5,2500,0,0,0,0,0,0,0,0
Luke Farrell,TE,JAX,CLE,-174,42,-3.5,22.75,2500,0,0,0,0,0,0,0,0
Antoine Green,WR,DET,TB,-332,51.5,-7,29.25,3000,0,0,0,0,0,0,0,0
Chase Cota,WR,NYG,WAS,106,44,1.5,21.25,3000,0,0,0,0,0,0,0,0
Bryce Ford-Wheaton,WR,NYG,WAS,106,44,1.5,21.25,3000,0,0,0,0,0,0,0,0
Tre'Quan Smith,WR,DET,TB,-332,51.5,-7,29.25,3000,0,0,0,0,0,0,0,0
Kyle Allen,QB,PIT,DEN,-157,36.5,-3,19.75,4000,0,0,0,0,0,0,0,0